holder_name,held_name,stake_pct,filing_date,entity_type,holder_role,shares_held,held_scrip_code,as_on_date,group
LALITHA VELLAYAN,EID Parry India Ltd,0.01,2026-09-11,individual,Promoter Group,22210,500125,2026-06-30,Murugappa
M M MURUGAPPAN HUF (Karta - M M MURUGAPPAN),EID Parry India Ltd,0.01,2026-09-11,individual,Promoter,20000,500125,2026-06-30,Murugappa
M M Murugappan Fly Trust (M M Murugappan & Meenakshi Murugappan hold shares on behalf of the Trust),EID Parry India Ltd,0.01,2026-09-11,corporate,Promoter Group,25000,500125,2026-06-30,Murugappa
PRANAV ALAGAPPAN,EID Parry India Ltd,0.01,2026-09-11,individual,Promoter Group,15950,500125,2026-06-30,Murugappa
SOLACHI RAMANATHAN,EID Parry India Ltd,0.01,2026-09-11,individual,Promoter Group,11100,500125,2026-06-30,Murugappa
VALLIAMMAI MURUGAPPAN,EID Parry India Ltd,0.01,2026-09-11,individual,Promoter Group,12100,500125,2026-06-30,Murugappa
A V NAGALAKSHMI,EID Parry India Ltd,0.0,2026-09-11,individual,Promoter Group,2796,500125,2026-06-30,Murugappa
A.KEERTIKA UNNAMALAI,EID Parry India Ltd,0.0,2026-09-11,individual,Promoter Group,2000,500125,2026-06-30,Murugappa
CARBORUNDUM UNIVERSAL LIMITED,EID Parry India Ltd,0.0,2026-09-11,corporate,Promoter,1000,500125,2026-06-30,Murugappa
M V SUBBIAH (in the capacity of Karta in HUF),EID Parry India Ltd,0.0,2026-09-11,individual,Promoter,6000,500125,2026-06-30,Murugappa
M.M.MUTHIAH SONS PRIVATE LTD,EID Parry India Ltd,0.0,2026-09-11,corporate,Promoter Group,280,500125,2026-06-30,Murugappa
Sigapi Arunacham (with MAM Arunachalam&AM Meyyammai behalf of Murugappan Arunachalam Chldren Trust),EID Parry India Ltd,0.0,2026-09-11,corporate,Promoter Group,1000,500125,2026-06-30,Murugappa
Uma Ramanathan,EID Parry India Ltd,0.0,2026-09-11,individual,Promoter Group,1000,500125,2026-06-30,Murugappa
V VASANTHA,EID Parry India Ltd,0.0,2026-09-11,individual,Promoter Group,2850,500125,2026-06-30,Murugappa
Valli Alagappan,EID Parry India Ltd,0.0,2026-09-11,individual,Promoter Group,500,500125,2026-06-30,Murugappa
AMBADI INVESTMENTS LIMITED,Kartik Investments Trust Ltd,30.64,2026-07-21,corporate,Promoter,74758,501151,2026-06-30,Murugappa
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED (Formerly TI Financial Holdings Ltd),Kartik Investments Trust Ltd,13.85,2026-07-21,corporate,Promoter,33790,501151,2026-06-30,Murugappa
CARBORUNDUM UNIVERSAL LIMITED,Kartik Investments Trust Ltd,9.93,2026-07-21,corporate,Promoter,24240,501151,2026-06-30,Murugappa
E.I.D.PARRY (INDIA) LTD.,Kartik Investments Trust Ltd,9.67,2026-07-21,corporate,Promoter,23600,501151,2026-06-30,Murugappa
MURUGAPPA EDUCATIONAL AND MEDICAL FOUNDATION,Kartik Investments Trust Ltd,5.01,2026-07-21,corporate,Promoter Group,12220,501151,2026-06-30,Murugappa
IGFT PRIVATE LIMITED,Kartik Investments Trust Ltd,4.14,2026-07-21,corporate,Public (>1%),10100,501151,2026-06-30,Murugappa
ANVIL FINTRADE PVT LTD,Kartik Investments Trust Ltd,2.54,2026-07-21,corporate,Public (>1%),6200,501151,2026-06-30,Murugappa
GAGANDEEP CREDIT CAPITAL PVT LTD,Kartik Investments Trust Ltd,2.54,2026-07-21,corporate,Public (>1%),6200,501151,2026-06-30,Murugappa
PRESCIENT WEALTH MANAGEMENT PRIVATE LIMITED,Kartik Investments Trust Ltd,2.54,2026-07-21,corporate,Public (>1%),6200,501151,2026-06-30,Murugappa
M.M.MUTHIAH RESEARCH FOUNDATION,Kartik Investments Trust Ltd,2.03,2026-07-21,corporate,Promoter Group,4960,501151,2026-06-30,Murugappa
AR LAKSHMI ACHI TRUST,Kartik Investments Trust Ltd,1.64,2026-07-21,corporate,Promoter Group,4000,501151,2026-06-30,Murugappa
A M M VELLAYAN SONS P LTD,Kartik Investments Trust Ltd,1.52,2026-07-21,corporate,Promoter Group,3700,501151,2026-06-30,Murugappa
CHOLA BUSINESS SERVICES LIMITED,Kartik Investments Trust Ltd,0.23,2026-07-21,corporate,Promoter Group,550,501151,2026-06-30,Murugappa
"Murugappa & Sons (M.V.SUBBIAH, M A Alagappan and M M Murugappan are the partners of the Firm)",Kartik Investments Trust Ltd,0.08,2026-07-21,corporate,Promoter,200,501151,2026-06-30,Murugappa
M M MURUGAPPAN,Kartik Investments Trust Ltd,0.04,2026-07-21,individual,Promoter,100,501151,2026-06-30,Murugappa
M V SUBBIAH,Kartik Investments Trust Ltd,0.04,2026-07-21,individual,Promoter,100,501151,2026-06-30,Murugappa
M.A.ALAGAPPAN,Kartik Investments Trust Ltd,0.04,2026-07-21,individual,Promoter,100,501151,2026-06-30,Murugappa
A VENKATACHALAM,Kartik Investments Trust Ltd,0.02,2026-07-21,individual,Promoter,50,501151,2026-06-30,Murugappa
M A ALAGAPPAN HOLDINGS PRIVATE LIMITED,Kartik Investments Trust Ltd,0.02,2026-07-21,corporate,Promoter Group,50,501151,2026-06-30,Murugappa
M.A. Murugappan Holdings LLP,Kartik Investments Trust Ltd,0.02,2026-07-21,corporate,Promoter Group,50,501151,2026-06-30,Murugappa
PARRY ENTERPRISES INDIA LTD,Kartik Investments Trust Ltd,0.01,2026-07-21,corporate,Promoter Group,32,501151,2026-06-30,Murugappa
V ARUNACHALAM,Kartik Investments Trust Ltd,0.01,2026-07-21,individual,Promoter,25,501151,2026-06-30,Murugappa
V NARAYANAN,Kartik Investments Trust Ltd,0.01,2026-07-21,individual,Promoter,25,501151,2026-06-30,Murugappa
COROMANDEL INTERNATIONAL LIMITED,NACL Industries Ltd,53.68,2026-07-20,corporate,Promoter,125736882,524709,2026-06-30,Murugappa
KRISHI RASAYAN EXPORTS PRIVATE LIMITED,NACL Industries Ltd,7.84,2026-07-20,corporate,Public (>1%),18369655,524709,2026-06-30,Murugappa
RAJESH KUMAR AGARWAL,NACL Industries Ltd,7.84,2026-07-20,individual,Public (>1%),18369655,524709,2026-06-30,Murugappa
KLR PRODUCTS LIMITED,NACL Industries Ltd,3.34,2026-07-20,corporate,Public (>1%),7827354,524709,2026-06-30,Murugappa
Investor Educaton and Protection Fund(IEPF),NACL Industries Ltd,1.4,2026-07-20,corporate,Public (>1%),3286236,524709,2026-06-30,Murugappa
Arun Murugappan Children'sTrust (M A M Arunachalam & Sigappi Arunachalam are Trustees),NACL Industries Ltd,0.0,2026-07-20,corporate,Promoter Group,3209,524709,2026-06-30,Murugappa
M A Alagappan Holdings Private Limited,NACL Industries Ltd,0.0,2026-07-20,corporate,Promoter Group,2588,524709,2026-06-30,Murugappa
M A M ARUNACHALAM,NACL Industries Ltd,0.0,2026-07-20,individual,Promoter Group,1709,524709,2026-06-30,Murugappa
"M A Murugappan HUF rep. by M A M Arunachalam, Karta",NACL Industries Ltd,0.0,2026-07-20,individual,Promoter Group,1004,524709,2026-06-30,Murugappa
M A Murugappan Holdings LLP,NACL Industries Ltd,0.0,2026-07-20,corporate,Promoter Group,3664,524709,2026-06-30,Murugappa
M.A.ALAGAPPAN,NACL Industries Ltd,0.0,2026-07-20,individual,Promoter Group,2279,524709,2026-06-30,Murugappa
"MurugappanArunachalamChildrenTrust(SigappiArunachalam,MAMArunachalam&AM MeyyammaiareTrustees)",NACL Industries Ltd,0.0,2026-07-20,corporate,Promoter Group,4202,524709,2026-06-30,Murugappa
Vedhika Meyyammai Arunachalam,NACL Industries Ltd,0.0,2026-07-20,individual,Promoter Group,91,524709,2026-06-30,Murugappa
Tube Investments Of India Limited,Shanthi Gears Ltd,70.46,2026-07-17,corporate,Promoter,54057475,522034,2026-06-30,Murugappa
Pacific Assets Trust PLC,Shanthi Gears Ltd,2.9,2026-07-17,corporate,Public (>1%),2221090,522034,2026-06-30,Murugappa
Dhanesh S Shah,Shanthi Gears Ltd,1.27,2026-07-17,individual,Public (>1%),974114,522034,2026-06-30,Murugappa
Durgesh S Shah,Shanthi Gears Ltd,1.27,2026-07-17,individual,Public (>1%),974114,522034,2026-06-30,Murugappa
Nimesh Sumatilal,Shanthi Gears Ltd,1.27,2026-07-17,individual,Public (>1%),974114,522034,2026-06-30,Murugappa
Ambadi Investments Limited,Shanthi Gears Ltd,0.01,2026-07-17,corporate,Promoter,5714,522034,2026-06-30,Murugappa
A M M Vellayan Sons P,Shanthi Gears Ltd,0.0,2026-07-17,corporate,Promoter,660,522034,2026-06-30,Murugappa
AMBADI INVESTMENTS LIMITED,Tube Investments of India Ltd,35.63,2026-09-18,corporate,Promoter,68966595,540762,2026-06-30,Murugappa
"SMALLCAP WORLD FUND, INC",Tube Investments of India Ltd,4.31,2026-09-18,corporate,Public (>1%),8350149,540762,2026-06-30,Murugappa
NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON INDIA MUL,Tube Investments of India Ltd,3.84,2026-09-18,corporate,Public (>1%),7428970,540762,2026-06-30,Murugappa
MOTILAL OSWAL NIFTY MIDCAP 100 ETF,Tube Investments of India Ltd,2.29,2026-09-18,corporate,Public (>1%),4424507,540762,2026-06-30,Murugappa
LIFE INSURANCE CORPORATION OF INDIA,Tube Investments of India Ltd,1.85,2026-09-18,corporate,Public (>1%),3582416,540762,2026-06-30,Murugappa
DSP FLEXI CAP FUND,Tube Investments of India Ltd,1.18,2026-09-18,corporate,Public (>1%),2280926,540762,2026-06-30,Murugappa
FRANKLIN ASIAN EQUITY FUND,Tube Investments of India Ltd,1.16,2026-09-18,corporate,Public (>1%),2246574,540762,2026-06-30,Murugappa
HDFC LIFE INSURANCE COMPANY LIMITED,Tube Investments of India Ltd,1.09,2026-09-18,corporate,Public (>1%),2115817,540762,2026-06-30,Murugappa
UTI NIFTY500 SHARIAH INDEX FUND,Tube Investments of India Ltd,1.09,2026-09-18,corporate,Public (>1%),2102915,540762,2026-06-30,Murugappa
NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITE,Tube Investments of India Ltd,1.02,2026-09-18,corporate,Public (>1%),1976757,540762,2026-06-30,Murugappa
M A M ARUNACHALAM,Tube Investments of India Ltd,0.44,2026-09-18,individual,Promoter,859938,540762,2026-06-30,Murugappa
ARUN ALAGAPPAN,Tube Investments of India Ltd,0.39,2026-09-18,individual,Promoter,749090,540762,2026-06-30,Murugappa
MURUGAPPA EDUCATIONAL AND MEDICAL FOUNDATION,Tube Investments of India Ltd,0.38,2026-09-18,corporate,Promoter Group,726200,540762,2026-06-30,Murugappa
V ARUNACHALAM,Tube Investments of India Ltd,0.38,2026-09-18,individual,Promoter,732622,540762,2026-06-30,Murugappa
M.A.ALAGAPPAN,Tube Investments of India Ltd,0.37,2026-09-18,individual,Promoter,710000,540762,2026-06-30,Murugappa
Lakshmi Ramaswamy Family Trust (A A Alagammai & Lakshmi Ramaswamy holds shares on behalf of Trust),Tube Investments of India Ltd,0.36,2026-09-18,corporate,Promoter Group,689998,540762,2026-06-30,Murugappa
V NARAYANAN,Tube Investments of India Ltd,0.35,2026-09-18,individual,Promoter,674771,540762,2026-06-30,Murugappa
A VENKATACHALAM,Tube Investments of India Ltd,0.3,2026-09-18,individual,Promoter,573979,540762,2026-06-30,Murugappa
LAKSHMI CHOCKALINGAM,Tube Investments of India Ltd,0.29,2026-09-18,individual,Promoter Group,566607,540762,2026-06-30,Murugappa
Shambho Trust (M V Subbiah and S Vellayan hold shares),Tube Investments of India Ltd,0.29,2026-09-18,corporate,Promoter Group,568080,540762,2026-06-30,Murugappa
"M A MURUGAPPAN HOLDINGS LLP (Formerly, M A Murugappan Holdings Pvt. Ltd).",Tube Investments of India Ltd,0.28,2026-09-18,corporate,Promoter Group,546860,540762,2026-06-30,Murugappa
"Saraswathi Trust (M V Subbiah, S Vellayan and M V Seetha Subbiah hold shares)",Tube Investments of India Ltd,0.28,2026-09-18,corporate,Promoter Group,537360,540762,2026-06-30,Murugappa
Meenakshi Murugappan Family Trust (M M Murugappan and Meenakshi Murugappan hold shares),Tube Investments of India Ltd,0.26,2026-09-18,corporate,Promoter Group,500000,540762,2026-06-30,Murugappa
M M Muthiah Family Trust (M M Murugappan & M M Muthiah holds shares on behalf of Trust),Tube Investments of India Ltd,0.25,2026-09-18,corporate,Promoter Group,478055,540762,2026-06-30,Murugappa
M M Veerappan Family Trust - M M Murugappan & Meenkashi Murugappan holds shares on behalf of Trust,Tube Investments of India Ltd,0.24,2026-09-18,corporate,Promoter Group,468055,540762,2026-06-30,Murugappa
M V Muthiah Family Trust (M M Venkatachalam & M V Muthiah holds shares on behalf of Trust),Tube Investments of India Ltd,0.24,2026-09-18,corporate,Promoter Group,459830,540762,2026-06-30,Murugappa
M V Subramanian Family Trust - M M Venkatachalam and M V Subramanian holds shares,Tube Investments of India Ltd,0.24,2026-09-18,corporate,Promoter Group,459830,540762,2026-06-30,Murugappa
ARUN VENKATACHALAM,Tube Investments of India Ltd,0.23,2026-09-18,individual,Promoter,450130,540762,2026-06-30,Murugappa
M A ALAGAPPAN HOLDINGS PRIVATE LIMITED,Tube Investments of India Ltd,0.23,2026-09-18,corporate,Promoter Group,446360,540762,2026-06-30,Murugappa
AR LAKSHMI ACHI TRUST,Tube Investments of India Ltd,0.2,2026-09-18,corporate,Promoter Group,391510,540762,2026-06-30,Murugappa
M M Venkatachalam Family Trust (M M Venkatachalam and Lakshmi Venkatachalam hold shares),Tube Investments of India Ltd,0.2,2026-09-18,corporate,Promoter Group,390900,540762,2026-06-30,Murugappa
MEYYAMMAI VENKATACHALAM,Tube Investments of India Ltd,0.19,2026-09-18,individual,Promoter Group,358580,540762,2026-06-30,Murugappa
VALLI ANNAMALAI,Tube Investments of India Ltd,0.19,2026-09-18,individual,Promoter Group,361025,540762,2026-06-30,Murugappa
M M MURUGAPPAN - As Karta of M M Murugappan HUF,Tube Investments of India Ltd,0.18,2026-09-18,individual,Promoter,355330,540762,2026-06-30,Murugappa
Lakshmi Venkatachalam Family Trust (M M Venkatachalam and Lakshmi Venkatachalam hold shares),Tube Investments of India Ltd,0.17,2026-09-18,corporate,Promoter Group,336905,540762,2026-06-30,Murugappa
R.Muthatha,Tube Investments of India Ltd,0.17,2026-09-18,individual,Promoter Group,337830,540762,2026-06-30,Murugappa
M.M.MUTHIAH RESEARCH FOUNDATION,Tube Investments of India Ltd,0.15,2026-09-18,corporate,Promoter Group,280920,540762,2026-06-30,Murugappa
M M MURUGAPPAN - As Karta of M M Muthiah HUF,Tube Investments of India Ltd,0.14,2026-09-18,individual,Promoter,277360,540762,2026-06-30,Murugappa
SIGAPI ARUNACHALAM,Tube Investments of India Ltd,0.12,2026-09-18,individual,Promoter Group,227990,540762,2026-06-30,Murugappa
Arun Murugappan Children's Trust (MAM Arunachalam & Sigappi Arunachalam hold shares on behalf of trust),Tube Investments of India Ltd,0.11,2026-09-18,corporate,Promoter Group,220278,540762,2026-06-30,Murugappa
M A Alagappan Grand Children Trust (Arun Alagappan & AA Alagammai hold shares on behalf of Trust),Tube Investments of India Ltd,0.11,2026-09-18,corporate,Promoter Group,216777,540762,2026-06-30,Murugappa
"Murugappan Arunachalam Children Trust (Sigapi Arunachalam, MAM Arunachalam and AM Meyyammai hold shares on behalf of trust)",Tube Investments of India Ltd,0.11,2026-09-18,corporate,Promoter Group,215410,540762,2026-06-30,Murugappa
M M Murugappan Family Trust (M M Murugappan and Meenakshi Murugappan hold shares),Tube Investments of India Ltd,0.1,2026-09-18,corporate,Promoter Group,194800,540762,2026-06-30,Murugappa
M M MURUGAPPAN,Tube Investments of India Ltd,0.09,2026-09-18,individual,Promoter,167715,540762,2026-06-30,Murugappa
M V SUBBIAH - As Karta of MV Subbiah HUF,Tube Investments of India Ltd,0.09,2026-09-18,individual,Promoter,171200,540762,2026-06-30,Murugappa
M A M ARUNACHALAM - As Karta of M A Murugappan HUF,Tube Investments of India Ltd,0.08,2026-09-18,individual,Promoter,148660,540762,2026-06-30,Murugappa
M A ALAGAPPAN - As Karta of M A Alagappan HUF,Tube Investments of India Ltd,0.07,2026-09-18,individual,Promoter,130660,540762,2026-06-30,Murugappa
M V SUBBIAH,Tube Investments of India Ltd,0.07,2026-09-18,individual,Promoter,135000,540762,2026-06-30,Murugappa
A M MEYYAMMAI,Tube Investments of India Ltd,0.04,2026-09-18,individual,Promoter Group,78425,540762,2026-06-30,Murugappa
A M M VELLAYAN SONS P LTD,Tube Investments of India Ltd,0.02,2026-09-18,corporate,Promoter Group,38454,540762,2026-06-30,Murugappa
M V SEETHA SUBBIAH,Tube Investments of India Ltd,0.02,2026-09-18,individual,Promoter Group,45000,540762,2026-06-30,Murugappa
DHRUV M ARUNACHALAM,Tube Investments of India Ltd,0.01,2026-09-18,individual,Promoter Group,11100,540762,2026-06-30,Murugappa
M V Seetha Subbiah Benefit Trust (M V Subbiah & Subbiah Vellayan holds shares),Tube Investments of India Ltd,0.01,2026-09-18,corporate,Promoter Group,14500,540762,2026-06-30,Murugappa
PRANAV ALAGAPPAN,Tube Investments of India Ltd,0.01,2026-09-18,individual,Promoter Group,25950,540762,2026-06-30,Murugappa
VALLIAMMAI MURUGAPPAN,Tube Investments of India Ltd,0.01,2026-09-18,individual,Promoter Group,17032,540762,2026-06-30,Murugappa
Valli Subbiah Benefit Trust (Subbiah Vellayan and M V Subbiah holds shares),Tube Investments of India Ltd,0.01,2026-09-18,corporate,Promoter Group,14500,540762,2026-06-30,Murugappa
A V NAGALAKSHMI,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,3600,540762,2026-06-30,Murugappa
A.KEERTIKA UNNAMALAI,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,500,540762,2026-06-30,Murugappa
CARBORUNDUM UNIVERSAL LIMITED,Tube Investments of India Ltd,0.0,2026-09-18,corporate,Promoter,1000,540762,2026-06-30,Murugappa
KANIKA SUBBIAH,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,3750,540762,2026-06-30,Murugappa
KRISHNA MURUGAPPAN MUTHIAH,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,5000,540762,2026-06-30,Murugappa
LAKSHMI VENKATACHALAM,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,1200,540762,2026-06-30,Murugappa
M M VENKATACHALAM,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter,4000,540762,2026-06-30,Murugappa
M.M.MUTHIAH SONS PRIVATE LTD,Tube Investments of India Ltd,0.0,2026-09-18,corporate,Promoter Group,4200,540762,2026-06-30,Murugappa
MEENAKSHI MURUGAPPAN,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,70,540762,2026-06-30,Murugappa
SOLACHI RAMANATHAN,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,8500,540762,2026-06-30,Murugappa
UMA RAMANATHAN,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,2000,540762,2026-06-30,Murugappa
V VASANTHA,Tube Investments of India Ltd,0.0,2026-09-18,individual,Promoter Group,2300,540762,2026-06-30,Murugappa
Tata Motors Limited,Automobile Corporation of Goa Ltd-$,48.98,2026-07-10,corporate,Promoter,2982214,505036,2026-06-30,Tata
Edc Limited,Automobile Corporation of Goa Ltd-$,6.66,2026-07-10,corporate,Public (>1%),405302,505036,2026-06-30,Tata
Arun Nahar,Automobile Corporation of Goa Ltd-$,4.13,2026-07-10,individual,Public (>1%),251752,505036,2026-06-30,Tata
Investor Education And Protection Fund Authority Ministry Of Corporate Affairs,Automobile Corporation of Goa Ltd-$,2.13,2026-07-10,corporate,Public (>1%),129708,505036,2026-06-30,Tata
Rachna Credit Capital Private Limited,Automobile Corporation of Goa Ltd-$,1.25,2026-07-10,corporate,Public (>1%),75866,505036,2026-06-30,Tata
Pankaj Rakyan,Automobile Corporation of Goa Ltd-$,1.21,2026-07-10,individual,Public (>1%),73684,505036,2026-06-30,Tata
Diana Dhun Ratnagar,Automobile Corporation of Goa Ltd-$,1.08,2026-07-10,individual,Public (>1%),66000,505036,2026-06-30,Tata
Dhanesh S Shah,Automobile Corporation of Goa Ltd-$,1.06,2026-07-10,individual,Public (>1%),64394,505036,2026-06-30,Tata
Tata AutoComp Systems Limited,Automotive Stampings and Assemblies Ltd,75.0,2026-07-20,corporate,Promoter,11898296,520119,2026-06-30,Tata
The Indian Hotels Company Limited,Benares Hotels Ltd,49.53,2026-07-17,corporate,Promoter,643825,509438,2026-06-30,Tata
Piem Hotels Limited,Benares Hotels Ltd,4.16,2026-07-17,corporate,Promoter,54063,509438,2026-06-30,Tata
Aditya Deorah,Benares Hotels Ltd,2.87,2026-07-17,individual,Public (>1%),37359,509438,2026-06-30,Tata
Investor Education And Protection Fund Authority Ministry Of Corporate Affairs,Benares Hotels Ltd,2.37,2026-07-17,corporate,Public (>1%),30787,509438,2026-06-30,Tata
All India Kashiraj Trust,Benares Hotels Ltd,2.31,2026-07-17,corporate,Promoter,30000,509438,2026-06-30,Tata
Anant Narain Singh,Benares Hotels Ltd,1.85,2026-07-17,individual,Promoter,24000,509438,2026-06-30,Tata
Vinodchandra Mansukhlal Parekh,Benares Hotels Ltd,1.55,2026-07-17,individual,Public (>1%),20115,509438,2026-06-30,Tata
Brajraj Singh,Benares Hotels Ltd,1.54,2026-07-17,individual,Public (>1%),20000,509438,2026-06-30,Tata
Arjun Ramani,Benares Hotels Ltd,1.45,2026-07-17,individual,Public (>1%),18798,509438,2026-06-30,Tata
Shrivarad Narayan Singh,Benares Hotels Ltd,1.38,2026-07-17,individual,Promoter,18000,509438,2026-06-30,Tata
Maharaj Kumari Hari Priya,Benares Hotels Ltd,1.35,2026-07-17,individual,Promoter,17550,509438,2026-06-30,Tata
Raghubirsingh R Gohil,Benares Hotels Ltd,1.23,2026-07-17,individual,Public (>1%),15957,509438,2026-06-30,Tata
Maharaja Kumari Krishna Priya,Benares Hotels Ltd,0.97,2026-07-17,individual,Promoter,12556,509438,2026-06-30,Tata
Anamika Kunwar,Benares Hotels Ltd,0.55,2026-07-17,individual,Promoter,7209,509438,2026-06-30,Tata
Maharaj Kumari Vishnupriya,Benares Hotels Ltd,0.39,2026-07-17,individual,Promoter,5010,509438,2026-06-30,Tata
Imlak Varanasi Developments Private Limited,Benares Hotels Ltd,0.08,2026-07-17,corporate,Promoter,1050,509438,2026-06-30,Tata
Northern India Hotels Limited,Benares Hotels Ltd,0.01,2026-07-17,corporate,Promoter,150,509438,2026-06-30,Tata
Anirudh Narain Singh,Benares Hotels Ltd,0.0,2026-07-17,individual,Promoter Group,12,509438,2026-06-30,Tata
Kunvar Ishan,Benares Hotels Ltd,0.0,2026-07-17,individual,Promoter Group,15,509438,2026-06-30,Tata
Oriental Hotels Limited,Benares Hotels Ltd,0.0,2026-07-17,corporate,Promoter,50,509438,2026-06-30,Tata
Pradyumn Narain Singh,Benares Hotels Ltd,0.0,2026-07-17,individual,Promoter Group,22,509438,2026-06-30,Tata
Varada Vasupriya,Benares Hotels Ltd,0.0,2026-07-17,individual,Promoter Group,5,509438,2026-06-30,Tata
TATA SONS PRIVATE LIMITED,Indian Hotels Company Ltd,35.66,2026-07-20,corporate,Promoter,507655313,500850,2026-06-30,Tata
NPS TRUST- A/C SBI PENSION FUND SCHEME - STATE GOVT,Indian Hotels Company Ltd,4.74,2026-07-20,corporate,Public (>1%),67415273,500850,2026-06-30,Tata
LIFE INSURANCE CORPORATION OF INDIA,Indian Hotels Company Ltd,2.64,2026-07-20,corporate,Public (>1%),37533692,500850,2026-06-30,Tata
NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON INDIA MULTI CAP FUND,Indian Hotels Company Ltd,2.53,2026-07-20,corporate,Public (>1%),36026112,500850,2026-06-30,Tata
CANARA ROBECO MUTUAL FUND A/C CANARA ROBECO LARGE AND MID CAP FUND,Indian Hotels Company Ltd,2.36,2026-07-20,corporate,Public (>1%),33646804,500850,2026-06-30,Tata
AXIS MUTUAL FUND TRUSTEE LIMITED A/C AXIS MUTUAL FUND A/C AXIS MIDCAP FUND,Indian Hotels Company Ltd,2.2,2026-07-20,corporate,Public (>1%),31244734,500850,2026-06-30,Tata
HDFC MUTUAL FUND - HDFC MID-CAP FUND,Indian Hotels Company Ltd,1.51,2026-07-20,corporate,Public (>1%),21458920,500850,2026-06-30,Tata
ICICI PRUDENTIAL BALANCED ADVANTAGE FUND,Indian Hotels Company Ltd,1.5,2026-07-20,corporate,Public (>1%),21373758,500850,2026-06-30,Tata
TATA INVESTMENT CORPORATION LTD,Indian Hotels Company Ltd,1.26,2026-07-20,corporate,Promoter Group,17989666,500850,2026-06-30,Tata
REKHA JHUNJHUNWALA,Indian Hotels Company Ltd,1.0,2026-07-20,individual,Public (>1%),14287765,500850,2026-06-30,Tata
TATA CHEMICALS LIMITED,Indian Hotels Company Ltd,0.83,2026-07-20,corporate,Promoter Group,11877053,500850,2026-06-30,Tata
EWART INVESTMENTS LIMITED,Indian Hotels Company Ltd,0.15,2026-07-20,corporate,Promoter Group,2127705,500850,2026-06-30,Tata
TAJ MADURAI LIMITED,Indian Hotels Company Ltd,0.08,2026-07-20,corporate,Promoter Group,1125393,500850,2026-06-30,Tata
ORIENTAL HOTELS LIMITED,Indian Hotels Company Ltd,0.06,2026-07-20,corporate,Promoter Group,835997,500850,2026-06-30,Tata
TATA INDUSTRIES LIMITED,Indian Hotels Company Ltd,0.05,2026-07-20,corporate,Promoter Group,739197,500850,2026-06-30,Tata
TAIDA TRADING AND INDUSTRIES LIMITED,Indian Hotels Company Ltd,0.01,2026-07-20,corporate,Promoter Group,187818,500850,2026-06-30,Tata
TATA CAPITAL LTD,Indian Hotels Company Ltd,0.0,2026-07-20,corporate,Promoter Group,19600,500850,2026-06-30,Tata
The Tata Power Company Limited,Nelco Ltd,50.04,2026-07-15,corporate,Promoter,11418090,504112,2026-06-30,Tata
SCHLUMBERGER LIMITED,Nelco Ltd,3.8,2026-07-15,corporate,Public (>1%),866460,504112,2026-06-30,Tata
Quadrature Capital Vector Sp Limited,Nelco Ltd,1.19,2026-07-15,corporate,Public (>1%),270724,504112,2026-06-30,Tata
Investor Education And Protection Fund Authority Ministry Of Corporate Affairs,Nelco Ltd,1.05,2026-07-15,corporate,Public (>1%),239176,504112,2026-06-30,Tata
Aftaab Investment Company Limited,Nelco Ltd,0.04,2026-07-15,corporate,Promoter,9850,504112,2026-06-30,Tata
Titan Company Limited,Nelco Ltd,0.0,2026-07-15,corporate,Promoter Group,1000,504112,2026-06-30,Tata
THE INDIAN HOTELS COMPANY LIMITED,Oriental Hotels Ltd,28.54,2026-07-21,corporate,Promoter,50972910,500314,2026-06-30,Tata
PRAMOD RANJAN,Oriental Hotels Ltd,8.0,2026-07-21,individual,Promoter,14288140,500314,2026-06-30,Tata
IHOCO B.V.,Oriental Hotels Ltd,5.25,2026-07-21,corporate,Promoter Group,9384860,500314,2026-06-30,Tata
D. VARADA REDDY,Oriental Hotels Ltd,3.7,2026-07-21,individual,Promoter,6614763,500314,2026-06-30,Tata
RAMESH DOULATRAM HARIANI,Oriental Hotels Ltd,2.14,2026-07-21,individual,Promoter,3813788,500314,2026-06-30,Tata
PIEM HOTELS LIMITED,Oriental Hotels Ltd,2.05,2026-07-21,corporate,Promoter Group,3657170,500314,2026-06-30,Tata
DODLA AMIT REDDY,Oriental Hotels Ltd,1.68,2026-07-21,individual,Promoter Group,3000938,500314,2026-06-30,Tata
GIRIJA GOLLAMUDI REDDY,Oriental Hotels Ltd,1.5,2026-07-21,individual,Promoter Group,2687625,500314,2026-06-30,Tata
D. VIJAYAGOPAL REDDY,Oriental Hotels Ltd,1.45,2026-07-21,individual,Promoter,2597060,500314,2026-06-30,Tata
